,pres_0,pres_1,time
0,957,910,1629231028.3103144
1,957,910,1629231028.3185117
2,957,910,1629231028.326736
3,957,910,1629231028.3389513
4,957,910,1629231028.347139
5,957,910,1629231028.3555167
6,957,910,1629231028.363686
7,957,910,1629231028.375835
8,960,910,1629231028.3839943
9,957,910,1629231028.392207
10,957,910,1629231028.4046679
11,957,910,1629231028.4122982
12,957,910,1629231028.421021
13,958,910,1629231028.4290352
14,957,910,1629231028.4410837
15,957,910,1629231028.4493437
16,957,909,1629231028.4574845
17,957,910,1629231028.470206
18,957,909,1629231028.4779263
19,957,910,1629231028.4865363
20,957,910,1629231028.4947183
21,957,910,1629231028.5059667
22,958,909,1629231028.5149446
23,957,907,1629231028.5229206
24,957,910,1629231028.5356922
25,957,910,1629231028.5438802
26,958,910,1629231028.551562
27,957,910,1629231028.5602696
28,957,910,1629231028.5725014
29,957,913,1629231028.5807512
30,957,911,1629231028.5881143
31,957,911,1629231028.601122
32,957,915,1629231028.609218
33,957,909,1629231028.6174843
34,957,910,1629231028.6257405
35,957,910,1629231028.6380663
36,957,911,1629231028.6455164
37,957,911,1629231028.6545048
38,957,910,1629231028.6665907
39,957,911,1629231028.6748662
40,955,910,1629231028.682703
41,956,912,1629231028.6908572
42,957,911,1629231028.703605
43,957,910,1629231028.711737
44,957,910,1629231028.7199745
45,958,911,1629231028.7320712
46,957,911,1629231028.7394714
47,957,895,1629231028.7478447
48,957,911,1629231028.7559965
49,958,911,1629231028.7691307
50,958,910,1629231028.7772684
51,957,911,1629231028.7854886
52,957,910,1629231028.7978022
53,958,911,1629231028.8059998
54,957,911,1629231028.8141866
55,957,910,1629231028.8223524
56,957,915,1629231028.8346157
57,957,910,1629231028.842681
58,957,910,1629231028.8500488
59,957,912,1629231028.863392
60,958,911,1629231028.8715966
61,957,911,1629231028.8797247
62,957,903,1629231028.887925
63,957,913,1629231028.8998842
64,957,918,1629231028.908277
65,956,910,1629231028.9162664
66,957,911,1629231028.9279668
67,957,911,1629231028.937081
68,957,911,1629231028.9444141
69,957,911,1629231028.9534562
70,957,915,1629231028.9654849
71,957,911,1629231028.9727547
72,959,913,1629231028.981174
73,957,908,1629231028.993951
74,957,911,1629231029.0026
75,957,911,1629231029.010685
76,957,911,1629231029.0189745
77,957,911,1629231029.0311108
78,957,909,1629231029.0393908
79,957,911,1629231029.0476518
80,959,912,1629231029.0599103
