,pres_0,pres_1,time
0,700,663,1629225488.8793426
1,698,663,1629225488.8875546
2,698,663,1629225488.895666
3,700,662,1629225488.9039574
4,699,663,1629225488.91576
5,699,664,1629225488.9235408
6,699,663,1629225488.9322844
7,699,664,1629225488.9449315
8,700,664,1629225488.95309
9,701,660,1629225488.9612358
10,725,663,1629225488.9693525
11,700,663,1629225488.9809818
12,700,663,1629225488.98943
13,699,663,1629225488.9974036
14,699,663,1629225489.010433
15,698,664,1629225489.0179882
16,700,664,1629225489.0267591
17,701,636,1629225489.0342538
18,711,664,1629225489.047267
19,701,663,1629225489.0555077
20,686,663,1629225489.0636873
21,676,663,1629225489.0759275
22,805,669,1629225489.0841053
23,800,665,1629225489.092317
24,815,665,1629225489.1003702
25,846,705,1629225489.1122327
26,839,665,1629225489.1210601
27,858,665,1629225489.1284254
28,858,664,1629225489.1413004
29,864,664,1629225489.1491861
30,868,664,1629225489.1579747
31,867,664,1629225489.1657565
32,879,665,1629225489.1782646
33,875,665,1629225489.186533
34,875,664,1629225489.1947448
35,877,663,1629225489.2063918
36,880,663,1629225489.2148833
37,883,664,1629225489.2232969
38,885,664,1629225489.230973
39,886,672,1629225489.2439337
40,887,663,1629225489.2520454
41,888,665,1629225489.2601984
42,882,656,1629225489.2725577
43,889,630,1629225489.2807329
44,887,644,1629225489.2889514
45,887,659,1629225489.297134
46,889,664,1629225489.3094323
47,888,749,1629225489.3174546
48,891,776,1629225489.3257093
49,888,778,1629225489.338139
50,888,788,1629225489.3463235
51,889,783,1629225489.3545203
52,889,791,1629225489.363044
53,890,792,1629225489.3747864
54,888,796,1629225489.3827972
55,889,798,1629225489.3912077
56,889,802,1629225489.4036028
57,890,801,1629225489.4117248
58,892,805,1629225489.4200282
59,893,806,1629225489.4281244
60,890,807,1629225489.4402115
61,890,808,1629225489.4483547
62,890,809,1629225489.455816
63,890,810,1629225489.4691358
64,891,817,1629225489.477279
65,890,813,1629225489.4854898
66,892,812,1629225489.49373
67,895,811,1629225489.5058684
68,891,812,1629225489.5140877
69,891,810,1629225489.5223897
70,892,813,1629225489.534212
71,891,805,1629225489.542884
72,878,811,1629225489.5499651
73,892,815,1629225489.5589418
74,893,813,1629225489.5714808
75,909,813,1629225489.579737
76,869,814,1629225489.5879605
77,893,812,1629225489.6000857
78,891,812,1629225489.6083
79,892,813,1629225489.6163383
80,889,812,1629225489.6246433
81,891,820,1629225489.6371543
82,892,814,1629225489.6451776
83,892,815,1629225489.653458
84,892,809,1629225489.6653988
85,892,802,1629225489.6736355
86,892,813,1629225489.681807
87,891,814,1629225489.6893
88,889,843,1629225489.7025936
89,892,813,1629225489.7107806
90,891,814,1629225489.7189896
91,892,811,1629225489.7309172
92,892,814,1629225489.7391267
93,893,814,1629225489.7475903
94,889,813,1629225489.7558904
95,891,813,1629225489.7677855
96,893,813,1629225489.7763338
97,892,814,1629225489.783873
98,892,815,1629225489.7969005
99,893,811,1629225489.8050613
100,891,785,1629225489.8131948
101,892,814,1629225489.8214114
102,893,814,1629225489.8335695
103,892,814,1629225489.841906
104,893,831,1629225489.8496525
105,893,814,1629225489.861341
106,892,805,1629225489.8705873
107,895,815,1629225489.8784993
108,895,815,1629225489.8869553
109,893,815,1629225489.898958
110,892,815,1629225489.9070492
111,892,815,1629225489.915263
112,892,825,1629225489.9279253
113,893,815,1629225489.9360404
114,892,812,1629225489.9443054
115,892,810,1629225489.9524636
116,893,816,1629225489.9642456
117,894,816,1629225489.9724994
118,893,815,1629225489.9809203
119,892,815,1629225489.9933765
120,892,823,1629225490.000844
121,892,815,1629225490.0088768
122,893,815,1629225490.016924
123,892,816,1629225490.0303342
124,892,819,1629225490.038538
125,892,815,1629225490.0467482
126,892,817,1629225490.0588465
127,894,818,1629225490.0670044
128,892,816,1629225490.0752888
129,893,816,1629225490.0830464
130,900,814,1629225490.0951293
131,894,824,1629225490.104053
132,897,816,1629225490.1121476
133,890,816,1629225490.1237352
134,892,816,1629225490.1323626
135,897,816,1629225490.1408267
136,893,816,1629225490.1487942
137,893,816,1629225490.1613476
138,908,816,1629225490.1695518
139,891,817,1629225490.1777368
