,pres_0,pres_1,time
0,863,533,1629234149.640504
1,865,529,1629234149.6468518
2,865,531,1629234149.662901
3,864,529,1629234149.662901
4,865,532,1629234149.6784775
5,864,531,1629234149.6784775
6,858,534,1629234149.6940274
7,864,533,1629234149.6940274
8,864,536,1629234149.7093527
9,864,544,1629234149.7253642
10,859,541,1629234149.7253642
11,863,544,1629234149.745872
12,868,564,1629234149.7571392
13,864,570,1629234149.7665026
14,865,593,1629234149.7746282
15,865,601,1629234149.7826102
16,866,604,1629234149.7947805
17,866,610,1629234149.8025782
18,866,622,1629234149.8115287
19,868,615,1629234149.823657
20,867,623,1629234149.8311582
21,869,615,1629234149.8399308
22,868,619,1629234149.8474526
23,867,625,1629234149.8598797
24,867,626,1629234149.8689475
25,867,628,1629234149.8771644
26,866,627,1629234149.8885078
27,865,630,1629234149.8970761
28,866,630,1629234149.9052238
29,865,631,1629234149.9136734
30,867,631,1629234149.9259663
31,867,630,1629234149.9344354
32,868,630,1629234149.9427989
33,867,629,1629234149.955074
34,867,628,1629234149.9625106
35,871,638,1629234149.9714127
36,868,630,1629234149.9795675
37,868,631,1629234149.9907231
38,868,631,1629234149.9999561
39,867,634,1629234150.0081117
40,867,632,1629234150.0204065
41,864,629,1629234150.0287232
42,867,632,1629234150.0363898
43,869,635,1629234150.044998
44,868,633,1629234150.0572424
45,862,635,1629234150.0651941
46,868,636,1629234150.0734575
47,868,639,1629234150.0859811
48,868,638,1629234150.0937166
49,868,637,1629234150.1023996
50,868,631,1629234150.1106071
51,868,638,1629234150.1220758
52,885,639,1629234150.1304247
53,866,637,1629234150.1385574
54,868,636,1629234150.1514497
55,868,635,1629234150.1595833
56,868,636,1629234150.1677532
57,868,623,1629234150.1765354
58,869,643,1629234150.1883607
59,868,641,1629234150.1965172
60,867,643,1629234150.205003
61,868,643,1629234150.217015
62,868,644,1629234150.2248766
63,868,641,1629234150.2333696
64,868,641,1629234150.2411542
65,880,643,1629234150.253941
66,870,631,1629234150.2620509
67,870,655,1629234150.270348
68,870,647,1629234150.2821596
69,870,650,1629234150.290281
70,870,636,1629234150.2985218
71,869,643,1629234150.3070009
72,869,642,1629234150.3188279
73,869,642,1629234150.3272693
74,869,642,1629234150.335885
75,869,644,1629234150.3476453
76,869,644,1629234150.3560266
77,870,643,1629234150.3640006
