,pres_0,pres_1,time
0,913,676,1629233696.9873095
1,912,683,1629233696.9873095
2,913,684,1629233697.0028963
3,913,683,1629233697.0028963
4,912,683,1629233697.0184648
5,912,684,1629233697.0340319
6,912,684,1629233697.0340319
7,912,685,1629233697.0494952
8,912,686,1629233697.0649774
9,912,685,1629233697.071884
10,912,685,1629233697.071884
11,912,688,1629233697.0878696
12,912,687,1629233697.0878696
13,912,686,1629233697.103552
14,912,685,1629233697.118821
15,912,701,1629233697.118821
16,912,684,1629233697.134805
17,909,683,1629233697.134805
18,911,688,1629233697.1503398
19,912,685,1629233697.165621
20,912,685,1629233697.1721988
21,914,687,1629233697.1721988
22,911,688,1629233697.1883059
23,909,688,1629233697.2035937
24,911,687,1629233697.2035937
25,911,690,1629233697.2194922
26,910,686,1629233697.2194922
27,911,684,1629233697.235002
28,909,684,1629233697.235002
29,909,684,1629233697.2506795
30,908,681,1629233697.2659576
31,907,690,1629233697.272845
32,905,683,1629233697.288849
33,904,674,1629233697.288849
34,901,680,1629233697.3044057
35,898,682,1629233697.3044057
36,895,684,1629233697.3197348
37,893,683,1629233697.3357916
38,890,682,1629233697.3357916
39,885,683,1629233697.3513308
40,881,693,1629233697.3513308
41,878,691,1629233697.372923
42,872,685,1629233697.372923
43,864,686,1629233697.3890543
44,853,685,1629233697.3890543
45,840,684,1629233697.4045935
46,820,680,1629233697.420185
47,774,684,1629233697.420185
48,724,683,1629233697.4357772
49,670,680,1629233697.4357772
50,625,681,1629233697.4514167
51,622,683,1629233697.466845
52,616,683,1629233697.473158
53,627,684,1629233697.473158
54,633,685,1629233697.4891016
55,620,685,1629233697.4891016
56,613,684,1629233697.5044057
57,626,684,1629233697.520221
58,605,683,1629233697.520221
59,607,683,1629233697.5361297
60,613,686,1629233697.551666
61,616,685,1629233697.551666
62,605,692,1629233697.567214
63,603,684,1629233697.5732238
64,615,682,1629233697.5893075
65,623,682,1629233697.5893075
66,619,682,1629233697.604896
67,625,682,1629233697.604896
68,629,681,1629233697.6204262
69,631,681,1629233697.6204262
70,632,682,1629233697.6360362
71,630,682,1629233697.651374
72,638,681,1629233697.651374
73,634,684,1629233697.667307
74,632,683,1629233697.6733172
75,635,685,1629233697.6892884
76,635,684,1629233697.6892884
77,625,683,1629233697.7046015
78,621,683,1629233697.7201853
79,627,683,1629233697.7201853
80,615,685,1629233697.7363677
81,623,685,1629233697.7490957
82,627,682,1629233697.7572951
83,626,684,1629233697.7658925
84,630,684,1629233697.7737608
85,631,683,1629233697.786334
86,631,684,1629233697.7945886
87,633,681,1629233697.8023283
88,630,681,1629233697.8147962
89,630,650,1629233697.8232546
90,629,684,1629233697.8312845
91,628,686,1629233697.8396554
92,623,686,1629233697.8518398
93,626,682,1629233697.8597317
94,618,682,1629233697.867791
95,604,682,1629233697.8806522
96,621,687,1629233697.8888206
97,623,685,1629233697.8969579
98,623,684,1629233697.9052095
99,626,688,1629233697.917393
100,626,683,1629233697.925324
101,623,682,1629233697.9335806
102,626,682,1629233697.9461086
103,621,682,1629233697.9537668
104,618,685,1629233697.9625463
105,617,687,1629233697.9698918
106,614,686,1629233697.981926
107,624,686,1629233697.9909456
108,614,686,1629233697.9983776
109,620,688,1629233698.011588
110,620,690,1629233698.0197692
111,617,688,1629233698.0280712
112,618,689,1629233698.0357502
113,619,690,1629233698.048196
114,637,689,1629233698.0561962
115,628,688,1629233698.0645587
116,621,689,1629233698.0771046
117,630,689,1629233698.085401
118,630,688,1629233698.0935452
119,628,688,1629233698.1012611
120,629,689,1629233698.1136086
121,629,687,1629233698.122357
122,629,687,1629233698.1303327
123,624,682,1629233698.1421154
124,628,691,1629233698.1508565
125,628,687,1629233698.159
126,628,688,1629233698.1664593
127,630,688,1629233698.1795263
128,629,686,1629233698.1879
129,628,688,1629233698.1960359
130,630,702,1629233698.2079298
131,628,697,1629233698.216176
132,619,687,1629233698.2242517
133,621,687,1629233698.232537
134,672,688,1629233698.2439816
135,827,689,1629233698.2532117
136,864,687,1629233698.261436
137,861,689,1629233698.2689164
138,865,719,1629233698.2815337
139,880,689,1629233698.2900693
140,887,690,1629233698.297305
141,888,690,1629233698.310589
142,894,689,1629233698.317837
143,897,689,1629233698.3258135
144,900,695,1629233698.33503
145,903,690,1629233698.34644
146,904,689,1629233698.3557265
147,904,722,1629233698.3630538
148,906,753,1629233698.37517
149,906,767,1629233698.383952
150,906,776,1629233698.3917584
151,905,779,1629233698.4003808
152,906,783,1629233698.4123893
153,905,788,1629233698.4203799
154,906,792,1629233698.4292507
155,908,795,1629233698.4416854
156,905,795,1629233698.449562
157,908,820,1629233698.4576395
158,908,841,1629233698.4659894
159,908,861,1629233698.478585
160,909,879,1629233698.4862168
161,907,886,1629233698.4949548
162,905,890,1629233698.5065827
