,pres_0,pres_1,time
0,2,797,1629215738.8669777
1,471,796,1629215738.8669777
2,483,796,1629215738.8669777
3,471,799,1629215738.8669777
4,477,793,1629215738.8669777
5,458,796,1629215738.8669777
6,466,796,1629215738.8669777
7,466,795,1629215738.8669777
8,461,797,1629215738.8669777
9,473,798,1629215738.8669777
10,481,797,1629215738.8669777
11,475,796,1629215738.8669777
12,477,797,1629215738.8669777
13,469,801,1629215738.8669777
14,51452,797,1629215738.8669777
15,471,796,1629215738.8669777
16,483,796,1629215738.8669777
17,471,799,1629215738.8669777
18,477,793,1629215738.8669777
19,458,796,1629215738.8669777
20,466,796,1629215738.8669777
21,466,795,1629215738.8669777
22,461,797,1629215738.8669777
23,473,798,1629215738.8825998
24,481,797,1629215738.8825998
25,475,796,1629215738.8825998
26,477,797,1629215738.8825998
27,469,801,1629215738.8825998
28,51946,947,1629215740.4267
29,947,949,1629215740.4426165
30,946,947,1629215740.458419
31,947,948,1629215740.458419
32,947,947,1629215740.4740024
33,946,947,1629215740.4740024
34,946,947,1629215740.4895475
35,947,947,1629215740.4895475
36,946,943,1629215740.5051672
37,946,944,1629215740.5204315
38,946,946,1629215740.5269365
39,946,943,1629215740.5429692
40,946,947,1629215740.5429692
41,947,946,1629215740.5584998
42,947,947,1629215740.5584998
43,947,947,1629215740.5738044
44,946,947,1629215740.5899055
45,946,947,1629215740.5899055
46,947,947,1629215740.6054738
47,947,947,1629215740.6054738
48,947,947,1629215740.6210449
49,947,947,1629215740.627055
50,947,947,1629215740.6431944
51,946,948,1629215740.6431944
52,948,928,1629215740.6587415
53,946,948,1629215740.6743214
54,947,946,1629215740.6743214
55,947,947,1629215740.6898768
56,947,947,1629215740.6898768
57,947,947,1629215740.7055695
58,945,947,1629215740.7210708
59,947,953,1629215740.727249
60,947,944,1629215740.727249
61,947,948,1629215740.7430842
62,946,947,1629215740.7430842
63,947,947,1629215740.7585108
64,947,947,1629215740.7744458
65,947,948,1629215740.7744458
66,947,947,1629215740.7902136
67,948,947,1629215740.805803
68,947,949,1629215740.805803
69,952,947,1629215740.8213992
70,947,949,1629215740.827415
71,947,947,1629215740.8432283
72,948,948,1629215740.8432283
73,947,947,1629215740.8591003
74,947,958,1629215740.8591003
75,948,945,1629215740.8743145
76,948,947,1629215740.8743145
77,949,947,1629215740.8902638
78,948,947,1629215740.9055278
79,947,947,1629215740.9055278
80,947,947,1629215740.921206
81,948,947,1629215740.9277208
82,948,947,1629215740.9433906
83,947,947,1629215740.9433906
84,952,950,1629215740.9621959
85,947,948,1629215740.9741566
86,947,948,1629215740.9782543
87,948,947,1629215740.9782543
88,948,948,1629215740.9939158
89,948,947,1629215741.0095432
90,948,947,1629215741.0095432
91,948,948,1629215741.0276852
92,947,948,1629215741.0276852
93,950,948,1629215741.0433228
94,948,947,1629215741.0433228
95,949,947,1629215741.0589437
96,948,946,1629215741.0724533
97,948,947,1629215741.0830352
98,948,949,1629215741.0830352
99,948,947,1629215741.0986574
100,948,948,1629215741.0986574
101,948,946,1629215741.114278
102,948,947,1629215741.1277852
103,942,947,1629215741.1277852
104,948,947,1629215741.1434095
105,947,948,1629215741.1434095
106,952,947,1629215741.1590452
107,948,948,1629215741.1746519
108,948,948,1629215741.1746519
109,949,947,1629215741.190273
110,948,951,1629215741.2058945
