,pres_0,pres_1,time
0,980,879,1629214989.2045197
1,979,883,1629214989.212104
2,979,882,1629214989.2159936
3,980,883,1629214989.2320628
4,979,906,1629214989.2320628
5,979,883,1629214989.2495406
6,980,883,1629214989.2495406
7,979,883,1629214989.2656102
8,979,883,1629214989.2656102
9,980,883,1629214989.281142
10,980,883,1629214989.2966113
11,977,883,1629214989.2966113
12,981,882,1629214989.312061
13,980,883,1629214989.312061
14,979,883,1629214989.3276515
15,979,883,1629214989.3437586
16,980,888,1629214989.350182
17,979,896,1629214989.350182
18,979,882,1629214989.3661737
19,981,883,1629214989.3817344
20,979,883,1629214989.3817344
21,980,884,1629214989.3974462
22,980,883,1629214989.3974462
23,979,883,1629214989.4126754
24,980,885,1629214989.4287329
25,979,883,1629214989.4287329
26,981,885,1629214989.444324
27,979,904,1629214989.4503746
28,980,883,1629214989.4664793
29,980,883,1629214989.4664793
30,980,884,1629214989.482008
31,981,883,1629214989.482008
32,980,884,1629214989.497551
33,980,885,1629214989.5129566
34,981,890,1629214989.5129566
35,980,883,1629214989.528487
36,980,883,1629214989.528487
37,980,884,1629214989.5508554
38,980,883,1629214989.5508554
39,978,882,1629214989.5668638
40,979,885,1629214989.5668638
41,980,881,1629214989.5824149
42,979,888,1629214989.5824149
43,978,884,1629214989.5977237
44,979,884,1629214989.6133447
45,980,883,1629214989.6133447
46,980,884,1629214989.6289682
47,980,884,1629214989.6450078
48,980,883,1629214989.65105
49,980,875,1629214989.65105
50,980,883,1629214989.6671731
51,979,883,1629214989.6765387
52,980,884,1629214989.6765387
53,979,883,1629214989.6921716
54,979,881,1629214989.7082434
55,980,883,1629214989.7082434
56,980,883,1629214989.7238233
57,979,890,1629214989.7238233
58,980,855,1629214989.7393532
59,985,883,1629214989.75175
60,980,888,1629214989.75175
61,979,883,1629214989.767776
62,979,883,1629214989.783092
63,980,883,1629214989.793539
64,979,884,1629214989.8015172
65,979,884,1629214989.8065238
66,979,884,1629214989.8221896
67,980,901,1629214989.8221896
68,980,886,1629214989.837784
69,979,884,1629214989.837784
70,980,884,1629214989.8518045
71,980,883,1629214989.8674986
72,980,883,1629214989.8674986
73,978,883,1629214989.8831072
74,985,883,1629214989.8831072
75,978,883,1629214989.8987334
76,975,884,1629214989.91434
77,980,883,1629214989.91434
78,980,883,1629214989.929965
79,980,884,1629214989.929965
80,980,886,1629214989.9520648
81,981,884,1629214989.9520648
82,978,884,1629214989.9677212
83,980,883,1629214989.9677212
84,980,884,1629214989.9833162
85,980,884,1629214989.9833162
86,980,884,1629214989.9989722
87,980,884,1629214990.014591
88,980,885,1629214990.014591
