,pres_0,pres_1,time
0,480,800,1629218055.2418501
1,480,798,1629218055.2482195
2,478,804,1629218055.2482195
3,484,797,1629218055.2641685
4,494,798,1629218055.279466
5,478,797,1629218055.279466
6,479,798,1629218055.295114
7,480,798,1629218055.3107302
8,479,798,1629218055.3107302
9,480,798,1629218055.3263893
10,480,798,1629218055.3263893
11,479,777,1629218055.3485758
12,481,798,1629218055.3485758
13,479,799,1629218055.3642552
14,480,798,1629218055.3642552
15,480,798,1629218055.3798752
16,480,798,1629218055.3798752
17,481,795,1629218055.395448
18,485,798,1629218055.4111032
19,483,799,1629218055.4111032
20,445,801,1629218055.4266887
21,479,799,1629218055.4423096
22,474,799,1629218055.4488485
23,479,799,1629218055.4488485
24,479,800,1629218055.4645045
25,479,797,1629218055.4645045
26,480,799,1629218055.4800947
27,479,795,1629218055.495747
28,477,799,1629218055.495747
29,479,799,1629218055.5113635
30,479,800,1629218055.5113635
31,479,799,1629218055.5269835
32,479,800,1629218055.5426054
33,480,800,1629218055.549109
34,478,799,1629218055.5647626
35,478,799,1629218055.5647626
36,478,800,1629218055.5803807
37,483,800,1629218055.5803807
38,478,805,1629218055.6010332
39,479,799,1629218055.6010332
40,478,800,1629218055.6166835
41,479,800,1629218055.6166835
42,478,822,1629218055.6323047
43,479,800,1629218055.6323047
44,478,801,1629218055.6494086
45,478,800,1629218055.667657
46,478,799,1629218055.667657
47,479,799,1629218055.6833055
48,479,800,1629218055.6833055
49,499,799,1629218055.698926
50,481,799,1629218055.698926
51,481,801,1629218055.71479
52,478,801,1629218055.7301278
53,480,800,1629218055.7301278
54,478,800,1629218055.7495496
55,479,800,1629218055.7495496
56,478,801,1629218055.7656248
57,479,800,1629218055.7656248
58,479,801,1629218055.781178
59,479,773,1629218055.7985175
60,474,801,1629218055.8015711
61,478,802,1629218055.8015711
62,478,801,1629218055.8171973
63,478,801,1629218055.8328147
64,477,801,1629218055.8328147
65,478,801,1629218055.8494506
66,479,800,1629218055.8494506
67,478,801,1629218055.8651333
68,478,796,1629218055.880698
69,482,803,1629218055.880698
70,477,781,1629218055.8963606
71,478,802,1629218055.8963606
72,478,801,1629218055.9120927
73,478,801,1629218055.927569
74,492,803,1629218055.927569
75,483,802,1629218055.9431872
76,476,809,1629218055.9496999
77,528,803,1629218055.965333
78,484,801,1629218055.965333
79,479,802,1629218055.9809544
80,479,802,1629218055.9809544
81,479,801,1629218055.996575
82,478,802,1629218056.0121992
83,476,802,1629218056.0121992
84,478,803,1629218056.0278184
85,478,802,1629218056.0278184
86,514,801,1629218056.0434332
87,479,802,1629218056.0600607
88,479,802,1629218056.0620813
89,487,802,1629218056.0721562
90,482,802,1629218056.0822728
91,479,816,1629218056.0923438
92,475,798,1629218056.1024666
93,477,800,1629218056.1125371
94,479,801,1629218056.1226432
95,478,801,1629218056.131023
96,478,801,1629218056.1434937
97,478,802,1629218056.1517842
98,478,825,1629218056.1621914
99,424,796,1629218056.172367
100,475,804,1629218056.172367
101,486,802,1629218056.1929693
102,478,801,1629218056.1929693
103,478,802,1629218056.205138
104,478,802,1629218056.2132351
105,478,802,1629218056.226203
106,478,802,1629218056.2342966
107,452,802,1629218056.244745
108,482,806,1629218056.254915
109,475,804,1629218056.2654665
110,478,801,1629218056.2675092
111,477,802,1629218056.285671
112,478,802,1629218056.2876937
113,479,803,1629218056.2977903
114,478,803,1629218056.3079073
115,479,804,1629218056.3179886
116,479,806,1629218056.3280907
117,478,803,1629218056.3361413
118,481,803,1629218056.3492951
119,479,804,1629218056.3576448
120,479,803,1629218056.3680735
121,480,804,1629218056.3702962
122,480,803,1629218056.3889318
123,479,804,1629218056.3909936
124,480,804,1629218056.399081
125,482,804,1629218056.4117935
126,480,804,1629218056.419919
127,480,803,1629218056.4328735
128,478,803,1629218056.4414003
129,480,803,1629218056.454228
130,480,803,1629218056.4623346
131,479,804,1629218056.4623346
132,480,841,1629218056.4831178
133,482,802,1629218056.4831178
134,479,806,1629218056.4953804
135,480,803,1629218056.5056715
136,480,803,1629218056.51584
137,478,803,1629218056.5261085
138,480,804,1629218056.5363207
139,483,804,1629218056.54654
140,480,799,1629218056.5567784
141,475,806,1629218056.5648153
142,481,810,1629218056.5648153
143,480,805,1629218056.5858529
144,480,805,1629218056.5858529
145,483,805,1629218056.601315
146,480,804,1629218056.614316
147,481,806,1629218056.619209
148,478,803,1629218056.619209
149,483,805,1629218056.6352217
150,480,806,1629218056.6509533
151,479,805,1629218056.6509533
152,480,804,1629218056.6665564
153,480,804,1629218056.6665564
154,480,805,1629218056.68207
155,480,804,1629218056.68207
156,481,805,1629218056.6977272
157,525,804,1629218056.7169046
158,480,805,1629218056.7169046
159,488,802,1629218056.733032
160,480,803,1629218056.733032
161,480,801,1629218056.7485747
162,479,802,1629218056.7485747
163,479,799,1629218056.7641473
164,480,798,1629218056.7793944
165,478,796,1629218056.7793944
166,480,795,1629218056.7950692
167,480,780,1629218056.8111143
168,479,789,1629218056.8175054
169,479,788,1629218056.8175054
170,479,783,1629218056.833491
171,480,778,1629218056.833491
172,480,771,1629218056.849177
173,480,761,1629218056.8645136
174,482,760,1629218056.8645136
175,480,752,1629218056.8803232
176,480,744,1629218056.8803232
177,480,719,1629218056.8957336
178,480,708,1629218056.9112375
179,480,684,1629218056.9177768
180,479,667,1629218056.9177768
181,480,639,1629218056.9336615
182,476,617,1629218056.949282
183,466,578,1629218056.949282
184,480,575,1629218056.9649289
