,pres_0,pres_1,time
0,926,874,1629219997.635729
1,926,871,1629219997.6511056
2,926,872,1629219997.6511056
3,926,872,1629219997.666728
4,926,871,1629219997.6823955
5,926,872,1629219997.6823955
6,919,872,1629219997.704561
7,927,871,1629219997.704561
8,926,872,1629219997.720552
9,927,872,1629219997.720552
10,927,879,1629219997.7361567
11,925,875,1629219997.7514613
12,927,875,1629219997.7514613
13,926,873,1629219997.7674916
14,926,876,1629219997.7674916
15,927,861,1629219997.7830303
16,927,872,1629219997.7830303
17,926,872,1629219997.8048263
18,926,871,1629219997.8048263
19,927,872,1629219997.8222268
20,927,861,1629219997.8222268
21,926,879,1629219997.8378365
22,926,872,1629219997.8538773
23,912,874,1629219997.8538773
24,926,871,1629219997.869537
25,926,872,1629219997.869537
26,926,872,1629219997.8851092
27,930,871,1629219997.8851092
28,926,870,1629219997.9047234
29,927,872,1629219997.9047234
30,926,871,1629219997.9207034
31,926,872,1629219997.935996
32,929,872,1629219997.935996
33,926,871,1629219997.9520824
34,927,872,1629219997.9520824
35,926,867,1629219997.967622
36,926,866,1629219997.9832215
37,927,871,1629219997.991548
38,926,872,1629219997.991548
39,926,872,1629219998.007175
40,926,873,1629219998.007175
41,926,872,1629219998.0228446
42,926,872,1629219998.0384781
43,927,872,1629219998.0384781
44,926,872,1629219998.054059
45,927,872,1629219998.06971
46,927,871,1629219998.06971
47,927,872,1629219998.0853512
48,927,873,1629219998.0853512
49,926,872,1629219998.105485
50,926,872,1629219998.1145425
51,928,872,1629219998.1145425
52,926,872,1629219998.1361105
53,925,872,1629219998.14782
54,926,872,1629219998.14782
55,925,871,1629219998.14782
56,927,873,1629219998.1634421
57,927,871,1629219998.1790633
58,929,872,1629219998.1790633
59,926,872,1629219998.1946862
60,926,871,1629219998.2056966
61,928,871,1629219998.2056966
62,926,872,1629219998.2213278
63,919,872,1629219998.2380083
64,927,866,1629219998.2464721
65,926,872,1629219998.2547789
66,927,872,1629219998.266685
67,927,872,1629219998.2747326
68,926,872,1629219998.2834258
69,927,872,1629219998.2914548
70,921,872,1629219998.3039348
71,926,872,1629219998.3119128
72,920,879,1629219998.3197348
73,928,872,1629219998.3324594
74,926,872,1629219998.339999
75,926,864,1629219998.3490665
76,928,872,1629219998.3571067
77,926,875,1629219998.3694592
78,928,872,1629219998.3769896
79,927,872,1629219998.3857582
80,928,871,1629219998.397118
81,927,871,1629219998.405963
82,926,871,1629219998.414434
83,926,871,1629219998.4220676
84,926,871,1629219998.4332578
85,923,873,1629219998.4412017
86,927,871,1629219998.4448123
87,927,869,1629219998.4579468
88,926,839,1629219998.4650445
89,927,869,1629219998.4734728
90,927,868,1629219998.4827251
91,927,868,1629219998.499435
92,926,867,1629219998.5079195
93,926,867,1629219998.516793
94,930,863,1629219998.5291677
95,926,871,1629219998.5367403
96,926,862,1629219998.5451212
97,926,861,1629219998.5536253
98,927,857,1629219998.5660543
99,926,854,1629219998.5744765
100,927,853,1629219998.582741
101,914,848,1629219998.5944557
102,926,849,1629219998.6024241
103,903,889,1629219998.6104991
104,924,836,1629219998.619676
105,926,833,1629219998.6316824
106,926,829,1629219998.6400821
107,927,815,1629219998.6482894
108,926,818,1629219998.6602397
109,926,813,1629219998.6677227
110,926,816,1629219998.6771724
111,928,812,1629219998.6843395
112,927,812,1629219998.6962273
113,932,812,1629219998.7045043
114,926,809,1629219998.7135756
115,926,810,1629219998.7250369
116,926,809,1629219998.733248
117,913,810,1629219998.7417798
118,924,809,1629219998.7498808
119,926,809,1629219998.761658
120,927,811,1629219998.77099
121,917,822,1629219998.7781518
122,926,809,1629219998.7906249
123,927,810,1629219998.7995765
124,926,809,1629219998.807757
125,926,809,1629219998.8147166
126,926,810,1629219998.824665
127,927,811,1629219998.8325136
128,926,809,1629219998.8408723
129,926,811,1629219998.8564944
130,926,811,1629219998.8649638
131,927,811,1629219998.8679595
132,926,817,1629219998.8816383
133,913,811,1629219998.8917031
134,926,798,1629219998.9003105
135,927,811,1629219998.9087703
136,926,806,1629219998.921695
137,927,809,1629219998.929996
138,926,809,1629219998.9391155
139,927,809,1629219998.9472764
140,927,807,1629219998.9592438
141,927,808,1629219998.9671192
142,927,809,1629219998.975862
143,927,809,1629219998.9871423
144,926,806,1629219998.9956715
145,926,809,1629219999.0035956
146,926,810,1629219999.012301
147,926,806,1629219999.0246017
148,926,810,1629219999.0327375
149,925,810,1629219999.0343049
150,931,808,1629219999.0498943
151,926,812,1629219999.058603
152,927,811,1629219999.066306
153,938,809,1629219999.0720422
154,926,810,1629219999.0898194
155,926,809,1629219999.098226
156,926,810,1629219999.1071281
157,926,810,1629219999.1189122
158,925,810,1629219999.1271336
159,933,810,1629219999.1342363
160,925,809,1629219999.1437917
161,924,808,1629219999.1516962
162,924,810,1629219999.1516962
163,924,809,1629219999.167319
164,922,809,1629219999.182938
165,908,809,1629219999.182938
166,915,809,1629219999.1985598
167,909,814,1629219999.2065718
168,916,812,1629219999.2065718
169,899,809,1629219999.2221994
170,869,809,1629219999.2378187
171,799,809,1629219999.2378187
172,836,809,1629219999.25344
173,790,808,1629219999.25344
174,794,810,1629219999.2690606
175,722,808,1629219999.2846832
176,382,797,1629219999.2846832
177,637,804,1629219999.3003032
178,0,808,1629219999.3068378
179,0,806,1629219999.3068378
180,0,803,1629219999.3224978
181,20,808,1629219999.3224978
182,0,809,1629219999.3381114
183,0,805,1629219999.3381114
184,0,809,1629219999.3537056
185,0,809,1629219999.3537056
186,0,808,1629219999.3693275
187,0,808,1629219999.3693275
188,0,808,1629219999.384984
189,0,809,1629219999.384984
190,0,807,1629219999.4005704
191,0,808,1629219999.4005704
192,0,807,1629219999.4071114
193,0,806,1629219999.4071114
194,0,809,1629219999.4227614
195,0,813,1629219999.4383576
196,0,809,1629219999.4383576
197,0,808,1629219999.4383576
198,0,812,1629219999.4539788
199,0,809,1629219999.4539788
200,0,809,1629219999.4696004
201,0,809,1629219999.4696004
202,0,811,1629219999.4852214
203,0,808,1629219999.4852214
204,0,810,1629219999.5008528
205,0,803,1629219999.5073724
206,0,808,1629219999.5073724
207,0,810,1629219999.5230086
208,0,808,1629219999.5230086
209,0,809,1629219999.5230086
210,11,809,1629219999.538629
211,0,809,1629219999.538629
212,33,808,1629219999.55425
213,0,808,1629219999.55425
214,0,813,1629219999.5698676
215,0,843,1629219999.5854897
216,25,808,1629219999.5854897
217,0,807,1629219999.5854897
218,0,808,1629219999.601127
219,0,808,1629219999.6076438
220,0,808,1629219999.6076438
221,0,810,1629219999.6232736
222,0,809,1629219999.6232736
223,0,800,1629219999.6388934
224,1,808,1629219999.6388934
225,0,812,1629219999.6545146
226,0,808,1629219999.6545146
227,9,807,1629219999.670135
228,0,807,1629219999.670135
229,0,807,1629219999.6857657
230,0,807,1629219999.6857657
231,0,807,1629219999.6857657
232,0,807,1629219999.7078831
233,7,804,1629219999.7078831
234,0,808,1629219999.7235076
235,0,808,1629219999.7235076
236,0,807,1629219999.7235076
237,0,808,1629219999.7391644
238,0,809,1629219999.7391644
239,31,807,1629219999.7550125
240,0,820,1629219999.770471
241,0,809,1629219999.770471
242,39,808,1629219999.770471
243,0,809,1629219999.7861996
244,0,808,1629219999.7861996
245,0,808,1629219999.8019407
246,0,808,1629219999.8081808
247,0,807,1629219999.8081808
248,13,808,1629219999.823844
249,0,808,1629219999.823844
250,0,807,1629219999.8394284
251,0,808,1629219999.8394284
252,0,809,1629219999.8550484
253,0,808,1629219999.8550484
254,0,809,1629219999.8706698
255,0,808,1629219999.8706698
256,0,807,1629219999.8706698
257,0,807,1629219999.8862913
258,0,809,1629219999.8862913
259,0,808,1629219999.908422
260,0,808,1629219999.908422
261,0,808,1629219999.908422
262,0,808,1629219999.9243085
263,0,806,1629219999.9243085
264,0,806,1629219999.9397707
265,0,754,1629219999.9397707
266,0,805,1629219999.9553845
267,0,805,1629219999.9553845
268,0,809,1629219999.9713001
269,0,806,1629219999.9713001
270,0,806,1629219999.9869096
271,0,806,1629219999.9869096
272,0,805,1629220000.002503
273,0,807,1629220000.00856
274,0,807,1629220000.00856
275,0,803,1629220000.0245702
276,8,805,1629220000.0296042
277,0,806,1629220000.0296042
278,0,806,1629220000.045273
279,1,806,1629220000.045273
280,0,806,1629220000.060892
281,9,799,1629220000.060892
282,2,805,1629220000.0764987
283,0,807,1629220000.0764987
284,0,808,1629220000.0764987
285,0,806,1629220000.0921187
286,0,806,1629220000.0921187
287,0,806,1629220000.1087573
288,0,806,1629220000.1087573
289,27,806,1629220000.124644
290,0,805,1629220000.124644
291,0,807,1629220000.1400316
292,0,838,1629220000.1400316
293,27,806,1629220000.1556246
294,0,802,1629220000.1556246
295,0,805,1629220000.1716464
296,0,806,1629220000.1716464
297,0,805,1629220000.1872616
298,0,785,1629220000.1872616
299,0,806,1629220000.1872616
300,0,806,1629220000.208875
301,0,806,1629220000.208875
302,1,806,1629220000.2248933
303,0,806,1629220000.2248933
304,794,807,1629220000.2403574
305,768,806,1629220000.2403574
306,0,806,1629220000.2557788
307,0,806,1629220000.2557788
308,0,805,1629220000.2557788
309,0,805,1629220000.2716012
310,0,805,1629220000.2716012
311,2,805,1629220000.2869864
312,0,810,1629220000.3029718
313,9,803,1629220000.3029718
314,0,805,1629220000.3092918
315,0,806,1629220000.3092918
316,0,807,1629220000.3251975
317,0,809,1629220000.3251975
318,1,814,1629220000.343506
319,11,827,1629220000.343506
320,0,828,1629220000.359463
321,0,822,1629220000.359463
322,0,827,1629220000.3750474
323,0,840,1629220000.3750474
324,0,837,1629220000.3750474
325,0,839,1629220000.390605
326,0,846,1629220000.390605
327,0,812,1629220000.4095414
328,0,850,1629220000.4095414
329,0,852,1629220000.425498
330,0,859,1629220000.425498
331,0,854,1629220000.441083
332,0,857,1629220000.441083
333,0,855,1629220000.441083
334,0,858,1629220000.4564097
335,15,858,1629220000.4564097
336,0,860,1629220000.472039
337,0,817,1629220000.472039
338,0,875,1629220000.4876525
339,0,860,1629220000.4876525
340,0,863,1629220000.5034616
341,0,864,1629220000.5096622
342,0,864,1629220000.5096622
343,0,865,1629220000.5254705
344,0,864,1629220000.5254705
345,0,865,1629220000.5411465
346,0,866,1629220000.5411465
347,0,855,1629220000.5568078
348,0,864,1629220000.5568078
349,0,865,1629220000.5721867
350,0,872,1629220000.5721867
351,0,865,1629220000.5721867
352,11,865,1629220000.5880797
353,0,838,1629220000.5880797
354,0,866,1629220000.610025
355,0,862,1629220000.610025
356,0,866,1629220000.6260524
357,0,866,1629220000.6260524
358,0,866,1629220000.6260524
359,0,866,1629220000.6415691
360,0,870,1629220000.6415691
361,27,870,1629220000.6571307
362,0,867,1629220000.6571307
363,1,868,1629220000.6737733
364,0,862,1629220000.6737733
365,0,869,1629220000.6894102
366,0,867,1629220000.6894102
